innings,ball,batsman,bowler,non_striker,runsbatsman,runsextras,runstotal,wicketfielders,wicketkind,wicketplayer_out,infoteams0,infoteams1,infotossdecision,infotosswinner,infoumpires0,infoumpires1,infovenue,innings01st inningsteam,innings12nd inningsteam
1st innings,0.1,JEC Franklin,Z Khan,SR Tendulkar,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,1.5,RG Sharma,R Vinay Kumar,SR Tendulkar,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,16.3,KA Pollard,Z Khan,Harbhajan Singh,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,16.4,Harbhajan Singh,Z Khan,KA Pollard,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,16.5,KA Pollard,Z Khan,Harbhajan Singh,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,16.6,Harbhajan Singh,Z Khan,KA Pollard,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,17.1,Harbhajan Singh,M Muralitharan,KA Pollard,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,17.2,KA Pollard,M Muralitharan,Harbhajan Singh,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,17.3,Harbhajan Singh,M Muralitharan,KA Pollard,4,0,4,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,17.4,Harbhajan Singh,M Muralitharan,KA Pollard,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,17.5,KA Pollard,M Muralitharan,Harbhajan Singh,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,17.6,Harbhajan Singh,M Muralitharan,KA Pollard,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,1.6,RG Sharma,R Vinay Kumar,SR Tendulkar,0,0,0,,lbw,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,18.1,KA Pollard,Z Khan,Harbhajan Singh,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,18.2,KA Pollard,Z Khan,Harbhajan Singh,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,18.3,Harbhajan Singh,Z Khan,KA Pollard,4,0,4,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,18.4,Harbhajan Singh,Z Khan,KA Pollard,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,18.5,Harbhajan Singh,Z Khan,KA Pollard,4,,,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,1.7,KD Karthik,R Vinay Kumar,SR Tendulkar,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,2.1,SR Tendulkar,Z Khan,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,2.2,SR Tendulkar,Z Khan,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,2.3,SR Tendulkar,Z Khan,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,2.4,SR Tendulkar,Z Khan,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,2.5,SR Tendulkar,Z Khan,KD Karthik,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,2.6,KD Karthik,Z Khan,SR Tendulkar,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,3.1,SR Tendulkar,R Vinay Kumar,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,3.2,SR Tendulkar,R Vinay Kumar,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,3.3,SR Tendulkar,R Vinay Kumar,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,3.4,SR Tendulkar,R Vinay Kumar,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,3.5,SR Tendulkar,R Vinay Kumar,KD Karthik,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,3.6,KD Karthik,R Vinay Kumar,SR Tendulkar,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,4.1,KD Karthik,HV Patel,SR Tendulkar,0,4,4,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,4.2,KD Karthik,HV Patel,SR Tendulkar,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,4.3,KD Karthik,HV Patel,SR Tendulkar,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,4.4,KD Karthik,HV Patel,SR Tendulkar,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,4.5,SR Tendulkar,HV Patel,KD Karthik,2,0,2,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,4.6,SR Tendulkar,HV Patel,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,5.1,KD Karthik,R Vinay Kumar,SR Tendulkar,1,0,1,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,5.2,SR Tendulkar,R Vinay Kumar,KD Karthik,0,0,0,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,5.3,SR Tendulkar,R Vinay Kumar,KD Karthik,4,0,4,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
1st innings,5.4,SR Tendulkar,R Vinay Kumar,KD Karthik,4,0,4,,,,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,Wankhede Stadium,Mumbai Indians,
