"","innings","ball","batsman","bowler","non_striker","runsbatsman","runsextras","runstotal","wicketfielders","wicketkind","wicketplayer_out","infoteams0","infoteams1","infotossdecision","infotosswinner","infoumpires0","infoumpires1","infovenue","innings01st.inningsteam","innings12nd.inningsteam","m.vl$class"
"1","1st innings",0.1,"JEC Franklin","Z Khan","SR Tendulkar","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"8","1st innings",17.2,"KA Pollard","M Muralitharan","Harbhajan Singh","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"9","1st innings",17.3,"Harbhajan Singh","M Muralitharan","KA Pollard","4","0","4","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","4"
"10","1st innings",17.4,"Harbhajan Singh","M Muralitharan","KA Pollard","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"12","1st innings",17.6,"Harbhajan Singh","M Muralitharan","KA Pollard","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"15","1st innings",18.2,"KA Pollard","Z Khan","Harbhajan Singh","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"18","1st innings",18.5,"Harbhajan Singh","Z Khan","KA Pollard","4",NA,NA,"","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","4"
"23","1st innings",2.4,"SR Tendulkar","Z Khan","KD Karthik","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"27","1st innings",3.2,"SR Tendulkar","R Vinay Kumar","KD Karthik","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"34","1st innings",4.3,"KD Karthik","HV Patel","SR Tendulkar","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"40","1st innings",5.3,"SR Tendulkar","R Vinay Kumar","KD Karthik","4","0","4","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","4"
"43","1st innings",5.6,"SR Tendulkar","R Vinay Kumar","KD Karthik","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"47","1st innings",6.4,"SR Tendulkar","HV Patel","KD Karthik","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"51","1st innings",7.2,"KD Karthik","J Syed Mohammad","SR Tendulkar","2","0","2","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","2"
"53","1st innings",7.4,"SR Tendulkar","J Syed Mohammad","KD Karthik","0","1","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"54","1st innings",7.5,"KD Karthik","J Syed Mohammad","SR Tendulkar","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"55","1st innings",7.6,"SR Tendulkar","J Syed Mohammad","KD Karthik","0","1","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"59","1st innings",8.2,"SR Tendulkar","HV Patel","KD Karthik","4","0","4","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","4"
"61","1st innings",8.4,"KD Karthik","HV Patel","AT Rayudu","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"66","1st innings",9.3,"AT Rayudu","M Muralitharan","KD Karthik","2","0","2","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","2"
"68","1st innings",1.1,"JEC Franklin","R Vinay Kumar","SR Tendulkar","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"77","1st innings",11.1,"KD Karthik","M Muralitharan","AT Rayudu","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"81","1st innings",11.4,"AT Rayudu","M Muralitharan","KD Karthik","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"83","1st innings",11.6,"AT Rayudu","M Muralitharan","KD Karthik","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"85","1st innings",12.2,"AT Rayudu","J Syed Mohammad","KD Karthik","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"86","1st innings",12.3,"KD Karthik","J Syed Mohammad","AT Rayudu","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"89","1st innings",12.6,"KD Karthik","J Syed Mohammad","AT Rayudu","6","0","6","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","6"
"91","1st innings",13.1,"AT Rayudu","HV Patel","KD Karthik","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"93","1st innings",13.3,"KD Karthik","HV Patel","AT Rayudu","2","0","2","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","2"
"98","1st innings",14.2,"KD Karthik","J Syed Mohammad","DR Smith","4","0","4","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","4"
"99","1st innings",14.3,"KD Karthik","J Syed Mohammad","DR Smith","4","0","4","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","4"
"100","1st innings",14.4,"KD Karthik","J Syed Mohammad","DR Smith","1","0","1","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","1"
"101","1st innings",1.4,"RG Sharma","R Vinay Kumar","SR Tendulkar","0","0","0","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"105","1st innings",15.2,"KD Karthik","M Muralitharan","DR Smith","2","0","2","","","","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","2"
"107","1st innings",15.4,"KD Karthik","M Muralitharan","DR Smith","0","0","0","V Kohli","caught","KD Karthik","Mumbai Indians","Royal Challengers Bangalore","field","Royal Challengers Bangalore","BF Bowden","VA Kulkarni","Wankhede Stadium","Mumbai Indians","","0"
"113","1st innings",1.5,"TM Dilshan","AC Thomas","CH Gayle","1","0","1","","","","Pune Warriors","Royal Challengers Bangalore","field","Pune Warriors","BF Bowden","SK Tarapore","Subrata Roy Sahara Stadium","Royal Challengers Bangalore","","1"
